FilterItLogS,Lipinski,RNCG,SIC0,RPCG,ATS0Z,JGI5,AETA_eta,measured log(solubility:mol/L)
-2.790325882761411,1,0.330753788756304,0.5,0.5512522318445603,1230,0.0,0.9416839980112393,-2.18
-2.129910721808897,1,0.3116903930765028,0.5204260414863776,0.6951889990559648,942,0.0,0.9134397077140336,-2.0
-2.433985882761411,1,0.25,0.5,0.3354262337929164,1230,0.0,0.8999870735113037,-1.74
-2.147370721808898,1,0.3729168969379626,0.5204260414863776,0.3640498515906619,942,0.0,0.7763281536020702,-1.48
-2.664600442853576,1,0.2777515649885069,0.5204260414863776,0.5332215075648326,1182,0.0,0.875353126733349,-3.04
-1.466564027736467,1,0.4294994501695388,0.5,0.4249604490181807,654,0.0,0.7319976555218857,-1.29
-1.47346323542649,1,0.337953349194981,0.6131471927654584,0.4684429275844422,652,0.0,0.5180369948236496,-1.64
-1.32901139470886,1,0.4399992749239394,0.2782127046172332,0.1921300333390097,358,0.0277777777777777,0.8014789237666364,-0.43
-4.565661576512394,1,0.2024991002226271,0.40701901811629,0.1943317499107612,1374,0.0,0.572415590166779,-4.57
-2.865086620019952,1,0.1280126518464555,0.222905136009398,0.1292439094868346,372,0.0,0.6413555620008358,-4.37
-4.565661576512394,1,0.2235158903168304,0.40701901811629,0.2067228859640076,1374,0.0,0.5686468211277809,-4.63
-3.790285475932683,1,0.2122767372541593,0.4184144184766947,0.1997938904577292,1086,0.0,0.5038723824724101,-4.0
-3.055349557103468,1,0.1405276501011813,0.2243071347541535,0.1424372331111658,336,0.0,0.6513952425484276,-3.2
-5.429948783740722,1,0.1898528617643706,0.40701901811629,0.2479720388157634,5118,0.0,0.8802387307929832,-6.98
-4.565661576512394,1,0.2209237077077352,0.40701901811629,0.1751476578898533,1374,0.0,0.5663017261570916,-5.56
-3.610082394121515,1,0.1210579098880813,0.2137135814081428,0.136218338102441,374,0.0,0.7582383422427401,-4.59
-4.481116462516357,1,0.184711206084072,0.4184144184766947,0.2352509611751643,3894,0.0,0.725919671511607,-4.5
-3.790285475932683,1,0.2371604502617944,0.4184144184766947,0.18422518963894,1086,0.0,0.4970792002394239,-3.59
-3.055349557103468,1,0.1342762432499369,0.2243071347541535,0.1429137865270977,336,0.0,0.6381949279922314,-3.31
-0.5786733952133488,1,0.4355215913052869,0.3805307530778357,0.2533131177736636,350,0.0,0.3503893219976222,0.62
-3.502808740325573,1,0.1938564719107127,0.40701901811629,0.2015821918382776,2670,0.0,0.5843199491255144,-3.5
-2.395293751676093,1,0.5,0.5,0.2150216203342916,2526,0.0,1.213247626006661,-1.68
-3.002181541955481,1,0.223068644029482,0.40701901811629,0.1723180197670083,798,0.0,0.4305202075034616,-3.05
-1.840364027736467,1,0.5,0.5,0.178463917718902,654,0.0,0.6422751292513551,-1.06
-1.893586414323361,1,0.4245671205720752,0.4149153817759055,0.1633117832178022,692,0.0,0.8055606452384717,-1.6
-2.320915482362771,1,0.2252750441736261,0.5,0.5,974,0.0,0.7779277954656248,-2.74
-1.70281139470886,1,0.4506280005233379,0.2782127046172332,0.0831287782875034,358,0.0185185185185185,0.7346177197903799,-0.77
-3.342302394121514,1,0.1202902161907178,0.2137135814081428,0.1214465090801656,374,0.0416666666666666,0.6812945813598769,-3.28
-1.799237928918452,1,0.2259655446655843,0.4764097655573916,0.3025237031296714,574,0.03125,0.4237482459461115,-3.1
-0.1468039322419946,1,0.9112041475112818,0.3899728733539151,0.1906739493172428,178,0.0,0.4936582311170165,-0.59
-4.481116462516357,1,0.2005178659172409,0.4184144184766947,0.2554279709871281,3894,0.0,0.7215950021496279,-5.6
-3.790285475932683,1,0.2577553808202133,0.4184144184766947,0.2001876848261889,1086,0.0,0.4954973401635253,-4.48
-3.055349557103468,1,0.1280509263610378,0.2243071347541535,0.1427406883005728,336,0.0,0.6350180687006645,-3.4
-1.971988680893174,1,0.1666666666666667,0.4600312555719781,0.1823966686399643,750,0.0578703703703703,0.4769815543363602,-2.89
-0.5786733952133488,1,0.4573053902252318,0.3805307530778357,0.2639385701821098,350,0.0,0.3484228066307376,0.81
-0.57706157746339,1,0.2928630855461279,0.2922852532386289,0.1821310058088503,150,0.0,0.3067841287238874,-1.87
-3.502808740325573,1,0.2061848984211949,0.40701901811629,0.2220879810938607,2670,0.0,0.5718307717332759,-3.54
-3.002181541955481,1,0.2482468887881386,0.40701901811629,0.1926704901899926,798,0.0,0.425809246204714,-3.04
-2.26738641432336,1,0.4535685115945464,0.4149153817759055,0.155983279079832,692,0.0,0.7336980776066311,-1.62
-1.684563848542957,1,0.4208556709439543,0.3448619546669419,0.1921865956246672,546,0.0277777777777777,0.7364449045607787,-1.46
-2.292692588440671,1,0.3960015216489651,0.40701901811629,0.2404371285339243,382,0.0,0.3363795936961485,-2.0
-3.924463749587873,1,0.1132150329821852,0.2181042919855316,0.1161113240750691,444,0.0291666666666666,0.5830889892206329,-4.29
-1.799237928918452,1,0.2387683002308359,0.4764097655573916,0.2549401170490766,574,0.0590277777777777,0.4182539898447379,-2.29
-0.5786733952133488,1,0.4693987521613316,0.3805307530778357,0.2708411479702062,350,0.0,0.3471811212007678,-0.17
-0.4910947866093258,1,0.2272630248828972,0.258769711834957,0.1549954666381091,224,0.0,0.5341089461488293,-2.06
-3.502808740325573,1,0.1758468231528027,0.40701901811629,0.219640755437261,2670,0.0,0.5642068473732639,-4.07
-3.002181541955481,1,0.2503651176641555,0.40701901811629,0.1896626445364026,798,0.0,0.4228778774913524,-3.27
-3.342302394121514,1,0.1188447767040958,0.2137135814081428,0.1213191029044436,374,0.0601851851851852,0.65894563841875,-3.75
-2.292692588440671,1,0.407750220234806,0.40701901811629,0.2421081409313015,382,0.0,0.3353416076717621,-1.97
-3.924463749587873,1,0.1133680706508149,0.2181042919855316,0.1157866855381959,444,0.025,0.5857264415713838,-4.14
-1.799237928918452,1,0.25,0.4764097655573916,0.2607619011462229,574,0.0722222222222222,0.414411076296441,-3.39
-1.026587486042054,1,0.2576038170751697,0.259762806028293,0.1436043426342191,188,0.0,0.418697752780649,-2.09
